Idx,rhoz(mg/cm^2),G(O K-L3),E(O K-L3),G(Mg K-L3),E(Mg K-L3),G(Al K-L3),E(Al K-L3),G(Al K-M3),E(Al K-M3),G(P K-L3),E(P K-L3),G(P K-M3),E(P K-M3)
669,0.178269,0.0139248,0.00365244,0.000737628,0.000438856,0,0,0,0,0,0,0,0
670,0.178535,0.0131696,0.00344743,0.000590739,0.000351191,0,0,0,0,0,0,0,0
671,0.178802,0.0124354,0.00324874,0.000460143,0.00027334,0,0,0,0,0,0,0,0
672,0.179068,0.0117222,0.00305631,0.000345839,0.00020528,0,0,0,0,0,0,0,0
673,0.179335,0.0110302,0.00287012,0.000247828,0.00014699,0,0,0,0,0,0,0,0
674,0.179601,0.0103591,0.00269013,0.00016611,9.84455e-05,0,0,0,0,0,0,0,0
675,0.179868,0.00970918,0.00251631,0.000100685,5.96248e-05,0,0,0,0,0,0,0,0
676,0.180134,0.00908027,0.00234861,5.15525e-05,3.05053e-05,0,0,0,0,0,0,0,0
677,0.1804,0.00847242,0.00218701,1.87127e-05,1.10643e-05,0,0,0,0,0,0,0,0
678,0.180667,0.00788563,0.00203147,2.16571e-06,1.27953e-06,0,0,0,0,0,0,0,0
679,0.180933,0.00731989,0.00188196,0,0,0,0,0,0,0,0,0,0
680,0.1812,0.00677521,0.00173844,0,0,0,0,0,0,0,0,0,0
681,0.181466,0.00625158,0.00160088,0,0,0,0,0,0,0,0,0,0
682,0.181733,0.00574901,0.00146924,0,0,0,0,0,0,0,0,0,0
683,0.181999,0.0052675,0.00134349,0,0,0,0,0,0,0,0,0,0
684,0.182266,0.00480704,0.0012236,0,0,0,0,0,0,0,0,0,0
685,0.182532,0.00436764,0.00110953,0,0,0,0,0,0,0,0,0,0
686,0.182799,0.0039493,0.00100125,0,0,0,0,0,0,0,0,0,0
687,0.183065,0.00355201,0.000898732,0,0,0,0,0,0,0,0,0,0
688,0.183332,0.00317578,0.000801931,0,0,0,0,0,0,0,0,0,0
689,0.183598,0.0028206,0.000710821,0,0,0,0,0,0,0,0,0,0
690,0.183865,0.00248648,0.000625367,0,0,0,0,0,0,0,0,0,0
691,0.184131,0.00217342,0.000545537,0,0,0,0,0,0,0,0,0,0
692,0.184398,0.00188141,0.000471298,0,0,0,0,0,0,0,0,0,0
693,0.184664,0.00161046,0.000402618,0,0,0,0,0,0,0,0,0,0
694,0.18493,0.00136056,0.000339464,0,0,0,0,0,0,0,0,0,0
695,0.185197,0.00113173,0.000281804,0,0,0,0,0,0,0,0,0,0
696,0.185463,0.000923943,0.000229605,0,0,0,0,0,0,0,0,0,0
697,0.18573,0.000737216,0.000182837,0,0,0,0,0,0,0,0,0,0
698,0.185996,0.000571546,0.000141465,0,0,0,0,0,0,0,0,0,0
699,0.186263,0.000426932,0.00010546,0,0,0,0,0,0,0,0,0,0
